Song Name,Artist,Genre,Popularity,Danceability ,Energy,Loudness,Speechiness,Acousticness,Liveness,Tempo,Duration (ms),Valence
Don't Play,"Anne-Marie, KSI, Digital Farm Animals","['dance pop', 'pop', 'pop dance', 'post-teen pop', 'tropical house', 'uk pop']",73,0.695,0.784,-6.564,0.0402,0.0889,0.0843,128.031,188581,0.52
Buss It,Erica Banks,['trap queen'],72,0.956,0.502,-5.995,0.213,0.0593,0.238,110.003,187000,0.795
Kings & Queens,Ava Max,"['dance pop', 'pop']",82,0.637,0.69,-4.057,0.0405,0.00786,0.124,129.857,162399,0.457
Lovesick Girls,BLACKPINK,"['k-pop', 'k-pop girl group']",75,0.654,0.707,-5.661,0.0664,0.00559,0.0873,127.97,194765,0.448
Caramelo,Ozuna,"['latin', 'puerto rican pop', 'reggaeton', 'trap latino']",74,0.728,0.806,-3.766,0.0623,0.0531,0.153,168.084,217547,0.698
Deep End,Foushe?,"['brooklyn drill', 'nyc rap']",72,0.868,0.479,-6.687,0.445,0.703,0.102,133.928,115200,0.776
Sand In My Boots,Morgan Wallen,['contemporary country'],75,0.403,0.537,-6.628,0.031,0.59,0.112,69.877,202133,0.414
865,Morgan Wallen,['contemporary country'],70,0.532,0.584,-5.254,0.0248,0.723,0.101,88.003,190680,0.367
7 Summers,Morgan Wallen,['contemporary country'],73,0.466,0.786,-5.13,0.0328,0.417,0.125,203.903,210507,0.571
HACIENDO QUE ME AMAS,Bad Bunny,"['latin', 'reggaeton', 'trap latino']",78,0.584,0.411,-7.147,0.0838,0.869,0.0955,169.934,217769,0.412
La Luz,"Sech, J Balvin","['latin', 'panamanian pop', 'reggaeton', 'trap latino']",70,0.665,0.697,-4.819,0.154,0.427,0.599,94.053,216747,0.556
The Woo (feat. 50 Cent & Roddy Ricch),Pop Smoke,['brooklyn drill'],79,0.49,0.618,-5.655,0.104,0.0221,0.259,99.7,201600,0.286
More Than My Hometown,Morgan Wallen,['contemporary country'],75,0.62,0.869,-5.479,0.0462,0.615,0.131,126.019,216573,0.597
Warning,Morgan Wallen,['contemporary country'],68,0.633,0.664,-5.037,0.0294,0.46,0.108,115.058,156747,0.268
Recairei - Ao Vivo,Os Bar?es Da Pisadinha,"['forro', 'piseiro']",69,0.582,0.937,-2.118,0.0858,0.449,0.684,168.096,166838,0.939
